county_fips,media_market
05143,"Ft. Smith-Fayetteville-Springdale-Rogers, AR"
05145,"Little Rock-Pine Bluff, AR"
05147,"Little Rock-Pine Bluff, AR"
05149,"Little Rock-Pine Bluff, AR"
06001,"San Francisco-Oakland-San Jose, CA"
06003,"Reno, NV"
06005,"Sacramento-Stockton-Modesto, CA"
06007,"Chico-Redding, CA"
06009,"Sacramento-Stockton-Modesto, CA"
06011,"Sacramento-Stockton-Modesto, CA"
06013,"San Francisco-Oakland-San Jose, CA"
06015,"Eureka, CA"
06017,"Sacramento-Stockton-Modesto, CA"
06019,"Fresno-Visalia, CA"
06021,"Chico-Redding, CA"
06023,"Eureka, CA"
06025,"Yuma, AZ-El Centro, CA"
06027,"Los Angeles, CA"
06029,"Bakersfield, CA"
06031,"Fresno-Visalia, CA"
06033,"San Francisco-Oakland-San Jose, CA"
06035,"Reno, NV"
06037,"Los Angeles, CA"
06039,"Fresno-Visalia, CA"
06041,"San Francisco-Oakland-San Jose, CA"
06043,"Fresno-Visalia, CA"
06045,"San Francisco-Oakland-San Jose, CA"
06047,"Fresno-Visalia, CA"
06049,"Medford-Klamath Falls, OR"
06051,"Reno, NV"
06053,"Monterey-Salinas, CA"
06055,"San Francisco-Oakland-San Jose, CA"
06057,"Sacramento-Stockton-Modesto, CA"
06059,"Los Angeles, CA"
06061,"Sacramento-Stockton-Modesto, CA"
06063,"Sacramento-Stockton-Modesto, CA"
06065,"Palm Springs, CA"
06067,"Sacramento-Stockton-Modesto, CA"
06069,"Monterey-Salinas, CA"
06071,"Los Angeles, CA"
06073,"San Diego, CA"
06075,"San Francisco-Oakland-San Jose, CA"
06077,"Sacramento-Stockton-Modesto, CA"
06079,"Santa Barbara-Santa Maria-San Luis Obispo, CA"
06081,"San Francisco-Oakland-San Jose, CA"
06083,"Santa Barbara-Santa Maria-San Luis Obispo, CA"
06085,"San Francisco-Oakland-San Jose, CA"
06087,"Monterey-Salinas, CA"
06089,"Chico-Redding, CA"
06091,"Sacramento-Stockton-Modesto, CA"
06093,"Medford-Klamath Falls, OR"
06095,"San Francisco-Oakland-San Jose, CA"
06097,"San Francisco-Oakland-San Jose, CA"
06099,"Sacramento-Stockton-Modesto, CA"
06101,"Sacramento-Stockton-Modesto, CA"
06103,"Chico-Redding, CA"
06105,"Chico-Redding, CA"
06107,"Fresno-Visalia, CA"
06109,"Sacramento-Stockton-Modesto, CA"
06111,"Los Angeles, CA"
06113,"Sacramento-Stockton-Modesto, CA"
06115,"Sacramento-Stockton-Modesto, CA"
08001,"Denver, CO"
08003,"Denver, CO"
08005,"Denver, CO"
08007,"Denver, CO"
08009,"Colorado Springs-Pueblo, CO"
08011,"Colorado Springs-Pueblo, CO"
08013,"Denver, CO"
08014,"Denver, CO"
08015,"Denver, CO"
08017,"Colorado Springs-Pueblo, CO"
08019,"Denver, CO"
08021,"Denver, CO"
08023,"Albuquerque-Santa Fe, NM"
08025,"Colorado Springs-Pueblo, CO"
08027,"Denver, CO"
08029,"Denver, CO"
08031,"Denver, CO"
08033,"Grand Junction-Montrose, CO"
08035,"Denver, CO"
08037,"Denver, CO"
08039,"Denver, CO"
08041,"Colorado Springs-Pueblo, CO"
08043,"Colorado Springs-Pueblo, CO"
08045,"Denver, CO"
08047,"Denver, CO"
08049,"Denver, CO"
08051,"Denver, CO"
08053,"Denver, CO"
08055,"Colorado Springs-Pueblo, CO"
08057,"Denver, CO"
08059,"Denver, CO"
08061,"Colorado Springs-Pueblo, CO"
08063,"Denver, CO"
08065,"Denver, CO"
08067,"Albuquerque-Santa Fe, NM"
08069,"Denver, CO"
08071,"Colorado Springs-Pueblo, CO"
08073,"Denver, CO"
08075,"Denver, CO"
08077,"Grand Junction-Montrose, CO"
08079,"Denver, CO"
08081,"Denver, CO"
08083,"Albuquerque-Santa Fe, NM"
08085,"Grand Junction-Montrose, CO"
08087,"Denver, CO"
08089,"Colorado Springs-Pueblo, CO"
08091,"Denver, CO"
08093,"Denver, CO"
08095,"Denver, CO"
08097,"Denver, CO"
08099,"Denver, CO"
08101,"Colorado Springs-Pueblo, CO"
08103,"Denver, CO"
08105,"Denver, CO"
08107,"Denver, CO"
08109,"Denver, CO"
08111,"Denver, CO"
08113,"Denver, CO"
08115,"Denver, CO"
08117,"Denver, CO"
08119,"Colorado Springs-Pueblo, CO"
08121,"Denver, CO"
08123,"Denver, CO"
08125,"Denver, CO"
09001,"New York, NY"
09003,"Hartford & New Haven, CT"
09005,"Hartford & New Haven, CT"
09007,"Hartford & New Haven, CT"
09009,"Hartford & New Haven, CT"
09011,"Hartford & New Haven, CT"
09013,"Hartford & New Haven, CT"
09015,"Hartford & New Haven, CT"
10001,"Philadelphia, PA"
10003,"Philadelphia, PA"
10005,"Salisbury, MD"
11001,"Washington, DC (Hagerstown, MD)"
12001,"Gainesville, FL"
12003,"Jacksonville, FL"
12005,"Panama City, FL"
12007,"Jacksonville, FL"
12009,"Orlando-Daytona Beach-Melbourne, FL"
12011,"Miami-Fort Lauderdale, FL"
12013,"Panama City, FL"
12015,"Ft. Myers-Naples, FL"
12017,"Tampa-St. Petersburg (Sarasota), FL"
12019,"Jacksonville, FL"
12021,"Ft. Myers-Naples, FL"
12023,"Jacksonville, FL"
12027,"Ft. Myers-Naples, FL"
12029,"Gainesville, FL"
12031,"Jacksonville, FL"
12033,"Mobile, AL-Pensacola (Ft. Walton Beach), FL"
12035,"Orlando-Daytona Beach-Melbourne, FL"
12037,"Panama City, FL"
12039,"Tallahassee, FL-Thomasville, GA"
12041,"Gainesville, FL"
12043,"Ft. Myers-Naples, FL"
12045,"Panama City, FL"
12047,"Tallahassee, FL-Thomasville, GA"
12049,"Tampa-St. Petersburg (Sarasota), FL"
12051,"Ft. Myers-Naples, FL"
12053,"Tampa-St. Petersburg (Sarasota), FL"
12055,"Tampa-St. Petersburg (Sarasota), FL"
12057,"Tampa-St. Petersburg (Sarasota), FL"
12059,"Panama City, FL"
12061,"West Palm Beach-Ft. Pierce, FL"
12063,"Panama City, FL"
12065,"Tallahassee, FL-Thomasville, GA"
12067,"Tallahassee, FL-Thomasville, GA"
12069,"Orlando-Daytona Beach-Melbourne, FL"
12071,"Ft. Myers-Naples, FL"
12073,"Tallahassee, FL-Thomasville, GA"
12075,"Gainesville, FL"
12077,"Panama City, FL"
12079,"Tallahassee, FL-Thomasville, GA"
12081,"Tampa-St. Petersburg (Sarasota), FL"
12083,"Orlando-Daytona Beach-Melbourne, FL"
12085,"West Palm Beach-Ft. Pierce, FL"
12086,"Miami-Fort Lauderdale, FL"
12087,"Miami-Fort Lauderdale, FL"
12089,"Jacksonville, FL"
12091,"Mobile, AL-Pensacola (Ft. Walton Beach), FL"
12093,"West Palm Beach-Ft. Pierce, FL"
12095,"Orlando-Daytona Beach-Melbourne, FL"
12097,"Orlando-Daytona Beach-Melbourne, FL"
12099,"West Palm Beach-Ft. Pierce, FL"
12101,"Tampa-St. Petersburg (Sarasota), FL"
12103,"Tampa-St. Petersburg (Sarasota), FL"
12105,"Tampa-St. Petersburg (Sarasota), FL"
12107,"Jacksonville, FL"
12109,"Jacksonville, FL"
12111,"West Palm Beach-Ft. Pierce, FL"
12113,"Mobile, AL-Pensacola (Ft. Walton Beach), FL"
12115,"Tampa-St. Petersburg (Sarasota), FL"
12117,"Orlando-Daytona Beach-Melbourne, FL"
12119,"Orlando-Daytona Beach-Melbourne, FL"
12121,"Tallahassee, FL-Thomasville, GA"
12123,"Tallahassee, FL-Thomasville, GA"
12125,"Jacksonville, FL"
12127,"Orlando-Daytona Beach-Melbourne, FL"
12129,"Tallahassee, FL-Thomasville, GA"
12131,"Panama City, FL"
12133,"Panama City, FL"
13001,"Savannah, GA"
13003,"Albany, GA"
13005,"Savannah, GA"
13007,"Albany, GA"
13009,"Macon, GA"
13011,"Atlanta, GA"
13013,"Atlanta, GA"
13015,"Atlanta, GA"
13017,"Albany, GA"
13019,"Albany, GA"
13021,"Macon, GA"
13023,"Macon, GA"
13025,"Jacksonville, FL"
13027,"Tallahassee, FL-Thomasville, GA"
13029,"Savannah, GA"
13031,"Savannah, GA"
13033,"Augusta, GA"
13035,"Atlanta, GA"
13037,"Albany, GA"
13039,"Jacksonville, FL"
13043,"Savannah, GA"
13045,"Atlanta, GA"
13047,"Chattanooga, TN"
13049,"Jacksonville, FL"
13051,"Savannah, GA"
13053,"Columbus, GA"
13055,"Atlanta, GA"
13057,"Atlanta, GA"
13059,"Atlanta, GA"
13061,"Columbus, GA"
13063,"Atlanta, GA"
13065,"Tallahassee, FL-Thomasville, GA"
13067,"Atlanta, GA"
13069,"Albany, GA"
13071,"Albany, GA"
13073,"Augusta, GA"
13075,"Albany, GA"
13077,"Atlanta, GA"
13079,"Macon, GA"
13081,"Albany, GA"
13083,"Chattanooga, TN"
13085,"Atlanta, GA"
13087,"Tallahassee, FL-Thomasville, GA"
13089,"Atlanta, GA"
13091,"Macon, GA"
13093,"Macon, GA"
13095,"Albany, GA"
13097,"Atlanta, GA"
13099,"Dothan, AL"
13101,"Tallahassee, FL-Thomasville, GA"
13103,"Savannah, GA"
13105,"Greenville-Spartanburg, SC-Asheville, NC-Anderson,SC"
13107,"Augusta, GA"
13109,"Savannah, GA"
13111,"Chattanooga, TN"
13113,"Atlanta, GA"
13115,"Atlanta, GA"
13117,"Atlanta, GA"
13119,"Greenville-Spartanburg, SC-Asheville, NC-Anderson,SC"
13121,"Atlanta, GA"
13123,"Atlanta, GA"
13125,"Augusta, GA"
13127,"Jacksonville, FL"
13129,"Atlanta, GA"
13131,"Tallahassee, FL-Thomasville, GA"
13133,"Atlanta, GA"
13135,"Atlanta, GA"
13137,"Atlanta, GA"
13139,"Atlanta, GA"
13141,"Macon, GA"
13143,"Atlanta, GA"
13145,"Columbus, GA"
13147,"Greenville-Spartanburg, SC-Asheville, NC-Anderson,SC"
13149,"Atlanta, GA"
13151,"Atlanta, GA"
13153,"Macon, GA"
13155,"Albany, GA"
13157,"Atlanta, GA"
13159,"Atlanta, GA"
13161,"Savannah, GA"
13163,"Augusta, GA"
13165,"Augusta, GA"
13167,"Macon, GA"
13169,"Macon, GA"
13171,"Atlanta, GA"
13173,"Tallahassee, FL-Thomasville, GA"
13175,"Macon, GA"
13177,"Albany, GA"
13179,"Savannah, GA"
13181,"Augusta, GA"
13183,"Savannah, GA"
13185,"Tallahassee, FL-Thomasville, GA"
13187,"Atlanta, GA"
13189,"Augusta, GA"
13191,"Savannah, GA"
13193,"Macon, GA"
13195,"Atlanta, GA"
13197,"Columbus, GA"
13199,"Atlanta, GA"
13201,"Tallahassee, FL-Thomasville, GA"
13205,"Albany, GA"
13207,"Macon, GA"
13209,"Savannah, GA"
13211,"Atlanta, GA"
13213,"Chattanooga, TN"
13215,"Columbus, GA"
13217,"Atlanta, GA"
13219,"Atlanta, GA"
13221,"Atlanta, GA"
13223,"Atlanta, GA"
13225,"Macon, GA"
13227,"Atlanta, GA"
13229,"Jacksonville, FL"
13231,"Atlanta, GA"
13233,"Atlanta, GA"
13235,"Macon, GA"
13237,"Atlanta, GA"
13239,"Columbus, GA"
13241,"Atlanta, GA"
13243,"Columbus, GA"
13245,"Augusta, GA"
13247,"Atlanta, GA"
13249,"Columbus, GA"
13251,"Savannah, GA"
13253,"Dothan, AL"
13255,"Atlanta, GA"
13257,"Greenville-Spartanburg, SC-Asheville, NC-Anderson,SC"
13259,"Columbus, GA"
13261,"Columbus, GA"
13263,"Columbus, GA"
13265,"Augusta, GA"
13267,"Savannah, GA"
13269,"Columbus, GA"
13271,"Macon, GA"
13273,"Albany, GA"
13275,"Tallahassee, FL-Thomasville, GA"
13277,"Albany, GA"
13279,"Savannah, GA"
13281,"Atlanta, GA"
13283,"Macon, GA"
13285,"Atlanta, GA"
13287,"Albany, GA"
13289,"Macon, GA"
13291,"Atlanta, GA"
13293,"Atlanta, GA"
13295,"Chattanooga, TN"
13297,"Atlanta, GA"
13299,"Jacksonville, FL"
13301,"Augusta, GA"
13303,"Macon, GA"
13305,"Savannah, GA"
13307,"Columbus, GA"
13309,"Macon, GA"
13311,"Atlanta, GA"
13313,"Chattanooga, TN"
13315,"Macon, GA"
13317,"Augusta, GA"
13319,"Macon, GA"
13321,"Albany, GA"
15001,"Honolulu, HI"
15003,"Honolulu, HI"
15005,"Honolulu, HI"
15007,"Honolulu, HI"
15009,"Honolulu, HI"
16001,"Boise, ID"
16003,"Boise, ID"
16005,"Idaho Falls-Pocatello, ID"
16007,"Salt Lake City, UT"
16009,"Spokane, WA"
16011,"Idaho Falls-Pocatello, ID"
16013,"Twin Falls, ID"
16015,"Boise, ID"
16017,"Spokane, WA"
16019,"Idaho Falls-Pocatello, ID"
16021,"Spokane, WA"
16023,"Idaho Falls-Pocatello, ID"
16025,"Boise, ID"
16027,"Boise, ID"
16029,"Idaho Falls-Pocatello, ID"
16031,"Twin Falls, ID"
16033,"Idaho Falls-Pocatello, ID"
16035,"Spokane, WA"
16037,"Idaho Falls-Pocatello, ID"
16039,"Boise, ID"
16041,"Salt Lake City, UT"
16043,"Idaho Falls-Pocatello, ID"
16045,"Boise, ID"
16047,"Twin Falls, ID"
16049,"Spokane, WA"
16051,"Idaho Falls-Pocatello, ID"
16053,"Twin Falls, ID"
16055,"Spokane, WA"
16057,"Spokane, WA"
16059,"Idaho Falls-Pocatello, ID"
16061,"Spokane, WA"
16063,"Twin Falls, ID"
16065,"Idaho Falls-Pocatello, ID"
16067,"Twin Falls, ID"
16069,"Spokane, WA"
16071,"Salt Lake City, UT"
16073,"Boise, ID"
16075,"Boise, ID"
16077,"Idaho Falls-Pocatello, ID"
16079,"Spokane, WA"
16081,"Idaho Falls-Pocatello, ID"
16083,"Twin Falls, ID"
16085,"Boise, ID"
16087,"Boise, ID"
17001,"Quincy, IL-Hannibal, MO-Keokuk, IA"
17003,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL"
17005,"St. Louis, MO"
17007,"Rockford, IL"
17009,"Quincy, IL-Hannibal, MO-Keokuk, IA"
17011,"Davenport, IA-Rock Island-Moline, IL"
17013,"St. Louis, MO"
17015,"Davenport, IA-Rock Island-Moline, IL"
17017,"Quincy, IL-Hannibal, MO-Keokuk, IA"
17019,"Champaign & Springfield-Decatur, IL"
17021,"Champaign & Springfield-Decatur, IL"
17023,"Terre Haute, IN"
17025,"Terre Haute, IN"
17027,"St. Louis, MO"
17029,"Champaign & Springfield-Decatur, IL"
17031,"Chicago, IL"
17033,"Terre Haute, IN"
17035,"Champaign & Springfield-Decatur, IL"
17037,"Chicago, IL"
17039,"Champaign & Springfield-Decatur, IL"
17041,"Champaign & Springfield-Decatur, IL"
17043,"Chicago, IL"
17045,"Terre Haute, IN"
17047,"Evansville, IN"
17049,"Champaign & Springfield-Decatur, IL"
17051,"St. Louis, MO"
17053,"Champaign & Springfield-Decatur, IL"
17055,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL"
17057,"Peoria-Bloomington, IL"
17059,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL"
17061,"St. Louis, MO"
17063,"Chicago, IL"
17065,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL"
17067,"Quincy, IL-Hannibal, MO-Keokuk, IA"
17069,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL"
17071,"Davenport, IA-Rock Island-Moline, IL"
17073,"Davenport, IA-Rock Island-Moline, IL"
17075,"Champaign & Springfield-Decatur, IL"
17077,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL"
17079,"Terre Haute, IN"
17081,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL"
17083,"St. Louis, MO"
17085,"Davenport, IA-Rock Island-Moline, IL"
17087,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL"
17089,"Chicago, IL"
17091,"Chicago, IL"
17093,"Chicago, IL"
17095,"Davenport, IA-Rock Island-Moline, IL"
17097,"Chicago, IL"
17099,"Chicago, IL"
17101,"Terre Haute, IN"
17103,"Rockford, IL"
17105,"Peoria-Bloomington, IL"
17107,"Champaign & Springfield-Decatur, IL"
17109,"Quincy, IL-Hannibal, MO-Keokuk, IA"
17111,"Chicago, IL"
17113,"Peoria-Bloomington, IL"
17115,"Champaign & Springfield-Decatur, IL"
17117,"St. Louis, MO"
17119,"St. Louis, MO"
17121,"St. Louis, MO"
17123,"Peoria-Bloomington, IL"
17125,"Peoria-Bloomington, IL"
17127,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL"
17129,"Champaign & Springfield-Decatur, IL"
17131,"Davenport, IA-Rock Island-Moline, IL"
17133,"St. Louis, MO"
17135,"St. Louis, MO"
17137,"Champaign & Springfield-Decatur, IL"
17139,"Champaign & Springfield-Decatur, IL"
17141,"Rockford, IL"
17143,"Peoria-Bloomington, IL"
17145,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL"
17147,"Champaign & Springfield-Decatur, IL"
17149,"Quincy, IL-Hannibal, MO-Keokuk, IA"
17151,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL"
17153,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL"
17155,"Peoria-Bloomington, IL"
17157,"St. Louis, MO"
17159,"Terre Haute, IN"
17161,"Davenport, IA-Rock Island-Moline, IL"
17163,"St. Louis, MO"
17165,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL"
17167,"Champaign & Springfield-Decatur, IL"
17169,"Quincy, IL-Hannibal, MO-Keokuk, IA"
17171,"Quincy, IL-Hannibal, MO-Keokuk, IA"
17173,"Champaign & Springfield-Decatur, IL"
17175,"Peoria-Bloomington, IL"
17177,"Rockford, IL"
17179,"Peoria-Bloomington, IL"
17181,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL"
17183,"Champaign & Springfield-Decatur, IL"
17185,"Evansville, IN"
17187,"Davenport, IA-Rock Island-Moline, IL"
17189,"St. Louis, MO"
17191,"Evansville, IN"
17193,"Evansville, IN"
17195,"Davenport, IA-Rock Island-Moline, IL"
17197,"Chicago, IL"
17199,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL"
17201,"Rockford, IL"
17203,"Peoria-Bloomington, IL"
18001,"Ft. Wayne, IN"
18003,"Ft. Wayne, IN"
18005,"Indianapolis, IN"
18007,"Indianapolis, IN"
18009,"Indianapolis, IN"
18011,"Indianapolis, IN"
18013,"Indianapolis, IN"
18015,"Indianapolis, IN"
18017,"Indianapolis, IN"
18019,"Louisville, KY"
18021,"Terre Haute, IN"
18023,"Indianapolis, IN"
18025,"Louisville, KY"
18027,"Terre Haute, IN"
18029,"Cincinnati, OH"
18031,"Indianapolis, IN"
18033,"Ft. Wayne, IN"
18035,"Indianapolis, IN"
18037,"Evansville, IN"
18039,"South Bend-Elkhart, IN"
18041,"Indianapolis, IN"
18043,"Louisville, KY"
18045,"Indianapolis, IN"
18047,"Cincinnati, OH"
18049,"South Bend-Elkhart, IN"
18051,"Evansville, IN"
18053,"Indianapolis, IN"
18055,"Terre Haute, IN"
18057,"Indianapolis, IN"
18059,"Indianapolis, IN"
18061,"Louisville, KY"
18063,"Indianapolis, IN"
18065,"Indianapolis, IN"
18067,"Indianapolis, IN"
18069,"Ft. Wayne, IN"
18071,"Louisville, KY"
18073,"Chicago, IL"
18075,"Ft. Wayne, IN"
18077,"Louisville, KY"
18079,"Louisville, KY"
18081,"Indianapolis, IN"
18083,"Terre Haute, IN"
18085,"South Bend-Elkhart, IN"
18087,"South Bend-Elkhart, IN"
18089,"Chicago, IL"
18091,"Chicago, IL"
18093,"Indianapolis, IN"
18095,"Indianapolis, IN"
18097,"Indianapolis, IN"
18099,"South Bend-Elkhart, IN"
18101,"Terre Haute, IN"
18103,"Indianapolis, IN"
18105,"Indianapolis, IN"
18107,"Indianapolis, IN"
18109,"Indianapolis, IN"
18111,"Chicago, IL"
18113,"Ft. Wayne, IN"
18115,"Cincinnati, OH"
18117,"Louisville, KY"
18119,"Indianapolis, IN"
18121,"Terre Haute, IN"
18123,"Evansville, IN"
18125,"Evansville, IN"
18127,"Chicago, IL"
18129,"Evansville, IN"
18131,"South Bend-Elkhart, IN"
18133,"Indianapolis, IN"
18135,"Indianapolis, IN"
18137,"Cincinnati, OH"
18139,"Indianapolis, IN"
18141,"South Bend-Elkhart, IN"
18143,"Louisville, KY"
18145,"Indianapolis, IN"
18147,"Evansville, IN"
18149,"South Bend-Elkhart, IN"
18151,"Ft. Wayne, IN"
18153,"Terre Haute, IN"
18155,"Cincinnati, OH"
18157,"Lafayette, IN"
18159,"Indianapolis, IN"
18161,"Cincinnati, OH"
18163,"Evansville, IN"
18165,"Terre Haute, IN"
18167,"Terre Haute, IN"
18169,"Ft. Wayne, IN"
18171,"Lafayette, IN"
18173,"Evansville, IN"
18175,"Louisville, KY"
18177,"Dayton, OH"
18179,"Ft. Wayne, IN"
18181,"Indianapolis, IN"
18183,"Ft. Wayne, IN"
19001,"Des Moines-Ames, IA"
19003,"Omaha, NE"
19005,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA"
19007,"Des Moines-Ames, IA"
19009,"Des Moines-Ames, IA"
19011,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA"
19013,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA"
19015,"Des Moines-Ames, IA"
19017,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA"
19019,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA"
19021,"Sioux City, IA"
